no,which,ampm,borough,cause,date,fulldate,message,subject,time,train,,
33,NYC,AM,BKLYN,brake activation,11/01/2019,11/01/2019 11:52:50 AM,Expect longer wait times in B and Q train service in both directions after a train's brakes were activated near Parkside Av.,bklyn b and q trains brake activation,11:52:50,"B, Q",,
36,NYC,AM,BKLYN,brake activation,11/01/2019,11/01/2019 12:12:15 AM,Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes were activated at Cortelyou Rd.,bklyn q train brake activation,12:12:15,Q,,
28,NYC,AM,QNS,brake activation,11/01/2019,11/01/2019 2:09:20 AM,A trains are delayed in both directions while we investigate why a train's brakes were activated at Far Rockaway-Mott Av.,qns a train brake activation,2:09:20,A,,
28,NYC,AM,QNS,brake activation,11/01/2019,11/01/2019 9:20:10 AM,Main St-bound 7 trains are running with delays because a train's brakes were activated in the tunnel between Manhattan and Queens.,qns 7 train network communications issue,9:20:10,7,,
43,NYC,PM,BKLYN,brakes activated,11/01/2019,11/01/2019 1:14:10 PM,Northbound B and Q trains are delayed while we investigate what activated a train's brakes at Prospect Park.,bklyn b and q trains brakes activated,1:14:10,"B, Q",,
22,NYC,AM,BKLYN,brakes activated,11/01/2019,11/01/2019 10:40:13 AM,Northbound B and Q trains are delayed because a train's brakes were activated near Parkside Av.,bklyn b and q trains brakes activated,10:40:13,"B, Q",,
46,NYC,PM,BKLYN,brakes activated,11/01/2019,11/01/2019 1:12:14 PM,Northbound D trains are delayed while we investigate what activated a train's brakes at 182-183 Sts.,bklyn d train brakes activated,1:12:14,D,,
41,NYC,AM,BKLYN,brakes activated,11/01/2019,11/01/2019 8:07:53 AM,"Southbound D trains are being rerouted in Brooklyn while we investigate what activated a train's brakes near 36 St.

Some southbound D trains will run on the N line from 36 St to 86 St, the last stop.

Some southbound D trains will run on the R line from 36 St to 95 St, the last stop.

Expect delays in southbound service.",bklyn d train brakes activated,8:07:53,D,,
10,NYC,PM,BKLYN,brakes activated,11/01/2019,11/01/2019 8:31:23 PM,Northbound N trains are delayed while we investigate why a train's brakes were activated at 8 Av.,bklyn n trains brakes activated,8:31:23,N,,
27,NYC,PM,BKLYN,brakes activated,11/01/2019,11/01/2019 8:07:07 PM,Northbound N trains are delayed while we investigate why a train's brakes were activated at 20 Av.,bklyn n trains brakes activated,8:07:07,N,,
25,NYC,AM,BKLYN,brakes activated,11/01/2019,11/01/2019 9:24:36 AM,Southbound Q trains are proceeding with delays after a fallen tree branch activated a train's brakes at Parkside Av.,bklyn q train brakes activated,9:24:36,Q,,
22,NYC,AM,BX,brakes activated,11/01/2019,11/01/2019 3:29:36 AM,Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Nereid Av.,bx 2 train brakes activated,3:29:36,2,,
13,NYC,AM,BKLYN,customer assaulted,11/01/2019,11/01/2019 3:50:51 AM,Chambers St-bound J trains are delayed while we request NYPD and EMS assistance at Cypress Hills.,bklyn j train customer assaulted,3:50:51,J,,
10,NYC,AM,QNS,customer assaulted,11/01/2019,11/01/2019 3:53:32 AM,Jamaica-bound E trains are delayed while we request NYPD and EMS assistance for a customer who was assaulted at Court Sq-23 St.,qns e train customer assaulted,3:53:32,E,,
12,NYC,PM,MANH,door problems,11/01/2019,11/01/2019 12:42:23 PM,Northbound 6 trains are proceeding with delays after we removed a train with a door problem from service at 86 St.,manh 6 train door problem,12:42:23,6,,
34,NYC,AM,MANH,door problems,11/01/2019,11/01/2019 9:07:37 AM,Northbound 6 trains are delayed while we remove a train with door problems from service at 42 St-Grand Central.,manh 6 trains door problems,9:07:37,6,,
