no,which,ampm,borough,cause,date,message,subject,time,train
33,NYC,AM,BKLYN,brake activation,11/01/19,Expect longer wait times in B and Q train service in both directions after a train's brakes were activated near Parkside Av.,bklyn b and q trains brake activation,11:52:50,"B, Q"
36,NYC,AM,BKLYN,brake activation,11/01/19,Southbound Q trains are running express from Prospect Park to Kings Hwy while we investigate why a train's brakes were activated at Cortelyou Rd.,bklyn q train brake activation,12:12:15,Q
28,NYC,AM,QNS,brake activation,11/01/19,A trains are delayed in both directions while we investigate why a train's brakes were activated at Far Rockaway-Mott Av.,qns a train brake activation,2:09:20,A
28,NYC,AM,QNS,brake activation,11/01/19,Main St-bound 7 trains are running with delays because a train's brakes were activated in the tunnel between Manhattan and Queens.,qns 7 train network communications issue,9:20:10,7
43,NYC,PM,BKLYN,brakes activated,11/01/19,Northbound B and Q trains are delayed while we investigate what activated a train's brakes at Prospect Park.,bklyn b and q trains brakes activated,1:14:10,"B, Q"
22,NYC,AM,BKLYN,brakes activated,11/01/19,Northbound B and Q trains are delayed because a train's brakes were activated near Parkside Av.,bklyn b and q trains brakes activated,10:40:13,"B, Q"
46,NYC,PM,BKLYN,brakes activated,11/01/19,Northbound D trains are delayed while we investigate what activated a train's brakes at 182-183 Sts.,bklyn d train brakes activated,1:12:14,D
41,NYC,AM,BKLYN,brakes activated,11/01/19,"Southbound D trains are being rerouted in Brooklyn while we investigate what activated a train's brakes near 36 St.

Some southbound D trains will run on the N line from 36 St to 86 St, the last stop.

Some southbound D trains will run on the R line from 36 St to 95 St, the last stop.

Expect delays in southbound service.",bklyn d train brakes activated,8:07:53,D
10,NYC,PM,BKLYN,brakes activated,11/01/19,Northbound N trains are delayed while we investigate why a train's brakes were activated at 8 Av.,bklyn n trains brakes activated,8:31:23,N
27,NYC,PM,BKLYN,brakes activated,11/01/19,Northbound N trains are delayed while we investigate why a train's brakes were activated at 20 Av.,bklyn n trains brakes activated,8:07:07,N
25,NYC,AM,BKLYN,brakes activated,11/01/19,Southbound Q trains are proceeding with delays after a fallen tree branch activated a train's brakes at Parkside Av.,bklyn q train brakes activated,9:24:36,Q
22,NYC,AM,BX,brakes activated,11/01/19,Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Nereid Av.,bx 2 train brakes activated,3:29:36,2
13,NYC,AM,BKLYN,customer assaulted,11/01/19,Chambers St-bound J trains are delayed while we request NYPD and EMS assistance at Cypress Hills.,bklyn j train customer assaulted,3:50:51,J
10,NYC,AM,QNS,customer assaulted,11/01/19,Jamaica-bound E trains are delayed while we request NYPD and EMS assistance for a customer who was assaulted at Court Sq-23 St.,qns e train customer assaulted,3:53:32,E
12,NYC,PM,MANH,door problems,11/01/19,Northbound 6 trains are proceeding with delays after we removed a train with a door problem from service at 86 St.,manh 6 train door problem,12:42:23,6
34,NYC,AM,MANH,door problems,11/01/19,Northbound 6 trains are delayed while we remove a train with door problems from service at 42 St-Grand Central.,manh 6 trains door problems,9:07:37,6
15,NYC,PM,MANH,ems help,11/01/19,"There are delays and multiple impacts in 4 and 5 train service while we request NYPD and EMS assistance for someone at 14 St-Union Sq. 

Northbound 4 and 5 trains are running on the local track from 14 St-Union Sq to Grand Central-42 St. 

Some northbound 5 trains are stopping along the 2 line from Nevins St to 149 St-Grand Concourse.",manh 4 and 5 trains nypd and ems assistance,6:25:35,"4, 5"
0,NYC,AM,MANH,ems help,11/01/19,Expect longer wait times for Bronx-bound D trains while we request NYPD and EMS assistance for an injured customer at 145 St.,manh d train ems assistance,2:46:26,D
38,NYC,PM,BKLYN,fdny,11/01/19,Northbound B and Q trains are delayed while we request FDNY assistance with a track fire between Prospect Park and 7 Av.,bklyn b and q trains fdny activity,2:47:52,"B, Q"
24,NYC,AM,QNS,injured person,11/01/19,Northbound 7 trains are delayed while we request EMS for someone at Queensboro Plaza.,qns 7 train injured person,4:37:23,7
41,NYC,PM,QNS,investigation,11/01/19,"Northbound E, F and R trains are delayed because of an NYPD investigation at Queens Plaza.",qns e f and r trains nypd investigation,7:42:44,"E, F, R"
