23,NYC,PM,MANH,brake activation,9/1/2019,9/1/2019 12:05:15 PM,Northbound D trains are delayed because a train's brakes were activated at Grand St.,manh d train brakes activated,12:05:15,D
27,NYC,PM,MANH,brake activation,9/1/2019,9/1/2019 10:15:52 PM,Uptown 2 and 3 trains are running on the local track from 72 St to 96 St while we investigate a train's brakes that activated at 96 St.,manh 2 and 3 trains brakes activated,10:15:52,"2, 3"
44,NYC,PM,MANH,brake activation,9/1/2019,9/1/2019 9:09:01 PM,Northbound 2 and 3 trains are running on the local track from 72 St to 96 St while we investigate a train's brakes activating at 96 St.,manh 2 and 3 trains brakes activated,9:09:01,"2, 3"
42,NYC,PM,BX,brake activation,9/1/2019,9/1/2019 5:19:05 PM,Southbound 2 trains are delayed while we investigate a train's brakes activating at 3 Av-149 St.,bx 2 trains brakes activated,5:19:05,2
2,NYC,AM,BKLYN,brake activation,9/1/2019,9/1/2019 2:17:45 AM,R trains are delayed in both directions while we investigate why a trains brakes were activated at Bay Ridge-95 St.,bklyn r trains brakes activated,2:17:45,R
43,NYC,PM,BKLYN,brake activation,9/1/2019,9/1/2019 5:10:19 PM,"Southbound N trains are running on the D line from 36 St (BKLYN) to Coney Island-Stillwell Av because a train's brakes were activated at 59 St (BKLYN).

For service to/from bypassed stations, take a northbound train.",bklyn n trains brakes activated,5:10:19,N
29,NYC,AM,BKLYN,disruptive passenger,9/1/2019,9/1/2019 3:46:22 AM,Coney Island-bound Q trains are delayed while we request police assistance for disruptive passengers at Kings Highway.,bklyn q trains disruptive passengers,3:46:22,Q
5,NYC,AM,QNS,earlier incident,9/1/2019,9/1/2019 1:55:09 AM,Expect longer wait times in 207 St-bound A trains after the South Channel Bridge connecting Broad Channel and the Rockaways was opened for marine traffic.,qns a trains earlier incident - bridge open for marine traffic,1:55:09,"A, "
38,NYC,AM,MANH,earlier incident,9/1/2019,9/1/2019 3:05:24 AM,Jamaica-bound F trains are proceeding with delays after a train's brakes were activated upon seeing an unauthorized person on the tracks at 2 Av.,manh f trains earlier incident - brakes activated /unauthorized person on the tracks.,3:05:24,"F, "
3,NYC,PM,MANH,ems help,9/1/2019,9/1/2019 11:42:12 PM,Coney Island-bound D trains are delayed while we request EMS assistance for someone at 145 St.,manh d trains ems assistance,11:42:12,D
30,NYC,AM,BKLYN,ems help,9/1/2019,9/1/2019 5:23:57 AM,"Bronx-bound 2 and 4 trains are running on the express track from Franklin Av to Atlantic Av-Barclays Center while we get EMS assistance for someone at Grand Army Plaza.

For bypassed stations, take a southbound 2 or 4 train.",bklyn 2 and 4 trains ems assistance,5:23:57,"2, 4"
26,NYC,PM,BKLYN,investigation,9/1/2019,9/1/2019 10:21:47 PM,L train service has resumed with minor delays after an earlier NYPD investigation at Jefferson St.,bklyn l trains earlier investigation,10:21:47,L
42,NYC,AM,BX,mechanical problems,9/1/2019,9/1/2019 11:27:29 AM,D trains are running with delays in both directions because of a train with a mechanical problem at 205 St.,bx d train mechanical problem,11:27:29,D
22,NYC,AM,BX,mechanical problems,9/1/2019,9/1/2019 5:34:26 AM,2 trains are delayed in both directions because of a train experiencing a mechanical problem at East 180 St.,bx 2 trains mechanical problem,5:34:26,2
44,NYC,AM,MANH,medical problems,9/1/2019,9/1/2019 7:05:30 AM,Southbound N and R trains are delayed while we get medical help for someone at 49 St.,manh n and r trains medical help,7:05:30,"N, R"
30,NYC,PM,MANH,medical problems,9/1/2019,9/1/2019 3:40:01 PM,Southbound 1 trains are running on the express track from 137 St-City College to 96 St while we get medical help for someone at 116 St-Columbia University.,manh 1 trains medical assistance,3:40:01,1
1,NYC,PM,BKLYN,disruptive passenger,9/1/2019,9/1/2019 4:46:33 PM,Southbound Q trains are delayed while NYPD responds to a disruptive passenger at DeKalb Av.,bklyn q trains nypd activity,4:46:33,Q
34,NYC,PM,MANH,sick passenger,9/1/2019,9/1/2019 9:45:03 PM,Southbound 1 trains are running on the express track from 137 St-City College to 96 St while we request medical assistance for a passenger at 116 St-Columbia University.,manh 1 trains sick passenger,9:45:03,1
29,NYC,AM,BKLYN,sick passenger,9/1/2019,9/1/2019 8:30:02 AM,Southbound 3 trains are delayed while we get EMS assistance for a customer at Utica Av.,bklyn 3 trains sick customer,8:30:02,3
9,NYC,PM,BKLYN,switch problems,9/1/2019,9/1/2019 7:40:33 PM,"Southbound N trains are running on the D line from 36 St (BKLYN) to Coney Island-Stillwell Av because of switch problems at 59 St (BKLYN).

For service to/from bypassed stations, take a northbound train.",bklyn n trains switch problems,7:40:33,N
3,NYC,AM,BKLYN,switch problems,9/1/2019,9/1/2019 10:30:45 AM,Southbound N trains are delayed because of a switch problem at 59 St.,bklyn n train switch problem,10:30:45,N
27,NYC,AM,BKLYN,track maintenance,9/1/2019,9/1/2019 3:49:26 AM,Flatbush Av-bound 2 and New Lots Av-bound 4 trains are delayed because of track maintenance at Nevins St.,bklyn 2 and 4 trains track maintenance,3:49:26,"2, 4"
47,NYC,AM,QNS,unauthorized person,9/1/2019,9/1/2019 2:45:21 AM,A trains are running with delays in both directions while we remove power to allow police to retrieve an unauthorized person on the tracks at Beach 36 St.,qns a trains unauthorized person on the tracks,2:45:21,A
19,NYC,AM,QNS,unauthorized person,9/1/2019,9/1/2019 9:17:56 AM,A trains are delayed in both directions while we request NYPD to investigate reports of an unauthorized person on the tracks at Broad Channel.,qns a train unauthorized person on the tracks,9:17:56,A
33,NYC,PM,MANH,brake activation,9/2/2019,9/2/2019 2:34:18 PM,Southbound 1 trains are running express from 34 St-Penn Station to Chambers St because of a train that had its brakes activated at 18 St.,manh 1 trains brake activation,2:34:18,1
46,NYC,PM,BKLYN,crowd condition,9/2/2019,9/2/2019 9:19:53 PM,2 and 3 trains are not stopping at Eastern Parkway-Brooklyn Museum in both direction because of crowd conditions at that station.,bklyn 2 and 3 trains crowd conditions,9:19:53,"2, 3"
44,NYC,AM,,door problems,9/2/2019,9/2/2019 11:33:46 AM,Expect longer wait times for 241 St-bound 2 trains after we removed a train from service for door problems at West Farms Sq-E Tremont Av.,brnx 2 trains door problem.,11:33:46,2
24,NYC,AM,BKLYN,ems help,9/2/2019,9/2/2019 1:35:58 AM,Northbound D trains are delayed while we request EMS assistance for someone at Bay Pkwy.,bklyn d train ems assistance,1:35:58,D
44,NYC,PM,MANH,investigation,9/2/2019,9/2/2019 9:35:09 PM,Northbound N and Q trains are running on the R line from DeKalb Av to Canal St because of an NYPD investigation at Canal St.,manh n and q trains nypd investigation,9:35:09,"N, Q"
11,NYC,PM,BKLYN,investigation,9/2/2019,9/2/2019 8:29:50 PM,8 Av bound L trains are delayed because of an NYPD investigation at Bedford Av.,bklyn l trains nypd investigation,8:29:50,L
35,NYC,PM,MANH,loss of power,9/2/2019,9/2/2019 10:36:17 PM,Southbound A trains are bypassing Dyckman St because of a temporary power outage at this station.,manh a trains temporary power outage,10:36:17,A
27,NYC,AM,BX,mechanical problems,9/2/2019,9/2/2019 8:03:15 AM,Southbound 4 trains are delayed while we remove a train with a door problem from service at Burnside Av.,bx 4 train mechanical problem,8:03:15,4
17,NYC,PM,BX,mechanical problems,9/2/2019,9/2/2019 12:50:44 PM,Expect longer wait times for southbound 2 train service after we removed a train with mechanical problems from service at 149 St-Grand Concourse.,bx 2 train mechanical problem,12:50:44,2
25,NYC,PM,SI,medical problems,9/2/2019,9/2/2019 7:18:08 PM,Tottenville-bound SIR trains are running with delays while we request medical help for someone at Eltingville.,si sir trains medical assistance,7:18:08,
19,NYC,PM,BKLYN,medical problems,9/2/2019,9/2/2019 8:04:53 PM,Southbound 4 trains are delayed while we request medical assistance for a passenger at Borough Hall.,bklyn 4 trains medical assistance,8:04:53,4
43,NYC,PM,MANH,disruptive passenger,9/2/2019,9/2/2019 1:36:55 PM,Northbound A C E trains are delayed while NYPD responds to a disruptive person at W 4 St-Wash Sq.,manh a c and e trains nypd activity,1:36:55,"A, C, E"
43,NYC,AM,BKLYN,signal problems,9/2/2019,9/2/2019 3:52:07 AM,New Lots Av-bound 4 trains are delayed while we investigate a signal problem at Sutter Av-Rutland Rd.,bklyn 4 trains signal problem,3:52:07,4
