ampm,borough,cause,type,date,message,subject,time,hours,minutes,train,,,
PM,MANH,removed a train from service,train,11/01/19,Northbound 1 trains are delayed while we remove a train from service at Houston St.,manh 1 trains train removed from service,8:43:29,8,43,1,,,
AM,BX,brake activation,train,11/01/19,Northbound 2 trains are delayed while we investigate why a train's brakes were activated at Nereid Av.,bx 2 train brake activation,3:29:36,3,29,2,,,
PM,BKLYN,medical problems,person,11/01/19,2 and 5 trains are delayed in both directions in Brooklyn while we request medical assistance for an injured passenger at Flatbush Av-Brooklyn College.,bklyn 2 and 5 trains medical assistance,7:18:38,7,18,2,,,
PM,BKLYN,rail repair,train,11/01/19,Expect delays in 2 and 3 train service as they share the local track with 5 trains while our crews repair a rail at Eastern Pkwy-Brooklyn Museum.,bklyn 2 and 3 trains rail repair,2:08:07,2,8,2,,,
PM,BX,removed a train from service,train,11/01/19,"Northbound 2 and 5 trains are running on the express track from 3 Av-149 St to E 180 St while we remove a train from service at Jackson Av.

For service to/from bypassed stations, take a southbound 2 or 5 train.",bx 2 and 5 trains train removed from service,8:30:24,8,30,2,,,
PM,MANH,removed a train from service,train,11/01/19,Southbound 2 3 trains are running on the local track from 34 St-Penn Station to 14 St while we remove a train from service at 14 St.,manh 2 and 3 trains train removed from service,7:40:45,7,40,2,,,
PM,MANH,ems help,person,11/01/19,"There are delays and multiple impacts in 4 and 5 train service while we request NYPD and EMS assistance for someone at 14 St-Union Sq. 

Northbound 4 and 5 trains are running on the local track from 14 St-Union Sq to Grand Central-42 St. 

Some northbound 5 trains are stopping along the 2 line from Nevins St to 149 St-Grand Concourse.",manh 4 and 5 trains nypd and ems assistance,6:25:35,6,25,4,,,
PM,MANH,track geometry train,train,11/01/19,Northbound 4 and 5 trains are moving at slower speeds in Manhattan while our track geometry train inspects tracks in that area.,manh 4 and 5 trains track geometry train,12:40:24,12,40,4,,,
PM,BKLYN,rail repair,train,11/01/19,"There are delays and multiple impacts in 5 train service while our crews repair a rail at Eastern Pkwy-Brooklyn Museum.

Northbound 5 trains are running local from Franklin Av to Atlantic Av-Barclays Ctr. 

Some southbound 5 trains are ending at Bowling Green.",bklyn 5 trains rail repair,2:07:22,2,7,5,,,
PM,MANH,door problems,train,11/01/19,Northbound 6 trains are proceeding with delays after we removed a train with a door problem from service at 86 St.,manh 6 train door problem,12:42:23,12,42,6,,,
